,LS,TF,FS,YL,SY,TP,CG,HS,WS,ND,DX,XT,WF
LS,,,,,,,,,,,,,
TF,0.8543,,,,,,,,,,,,
FS,0.9191,0.8964,,,,,,,,,,,
YL,0.8567,0.8324,0.7405,,,,,,,,,,
SY,0.924,0.9138,0.8526,0.7286,,,,,,,,,
TP,0.8853,0.8799,0.8143,0.7098,0.5294,,,,,,,,
CG,0.927,0.9152,0.867,0.7908,0.9071,0.8516,,,,,,,
HS,0.6746,0.6603,0.7363,0.6673,0.7153,0.6987,0.7695,,,,,,
WS,0.8964,0.888,0.9199,0.8714,0.9254,0.8967,0.928,0.2812,,,,,
ND,0.8452,0.8391,0.8921,0.8295,0.8955,0.8486,0.9029,0.2446,0.7726,,,,
DX,0.8446,0.825,0.7791,0.7023,0.7845,0.6944,0.807,0.6704,0.8594,0.8009,,,
XT,0.8791,0.1994,0.9149,0.8499,0.9297,0.8908,0.9349,0.6778,0.9072,0.8589,0.843,,
WF,0.9452,0.925,0.6316,0.8169,0.9293,0.8837,0.926,0.7613,0.9407,0.9174,0.8322,0.9431,
