"","LS","TF","FS","YL","SY","TP","CG","HS","WS","ND","DX","XT","WF"
"LS","0","","","","","","","","","","","",""
"TF","0.196428571428571","0","","","","","","","","","","",""
"FS","0.0816326530612245","0.116666666666667","0","","","","","","","","","",""
"YL","0.186746987951807","0.0100502512562814","0.106741573033708","0","","","","","","","","",""
"SY","0.23728813559322","0.0428571428571429","0.158730158730159","0.0528846153846154","0","","","","","","","",""
"TP","0.287598944591029","0.0966292134831461","0.210918114143921","0.106575963718821","0.0539956803455724","0","","","","","","",""
"CG","0.18429003021148","0.0125944584382872","0.104225352112676","0.00254452926208651","0.0554216867469879","0.109090909090909","0","","","","","",""
"HS","0.221902017291066","0.026634382566586","0.142857142857143","0.0366748166259169","0.0162412993039443","0.0701754385964912","0.0392156862745098","0","","","","",""
"WS","0.230769230769231","0.0359712230215827","0.152","0.0460048426150121","0.00689655172413793","0.0608695652173913","0.0485436893203883","0.00934579439252336","0","","","",""
"ND","0.266304347826087","0.0737327188940092","0.188775510204082","0.0837209302325581","0.0309734513274336","0.0230607966457023","0.0862470862470862","0.0471910112359551","0.0378619153674833","0","","",""
"DX","0.321608040201005","0.133620689655172","0.246445497630332","0.143478260869565","0.0912863070539419","0.0374753451676529","0.145969498910675","0.107368421052632","0.0981210855949896","0.0604838709677419","0","",""
"XT","0.0847457627118644","0.113573407202216","0.00313479623824451","0.103641456582633","0.155672823218997","0.207920792079208","0.101123595505618","0.139784946236559","0.148936170212766","0.185750636132316","0.243498817966903","0",""
"WF","0.150943396226415","0.046875","0.0701754385964912","0.0368421052631579","0.0895522388059701","0.142857142857143","0.0343007915567282","0.0734177215189873","0.0827067669172932","0.120192307692308","0.179372197309417","0.0670553935860058","0"
